,crosstalk,distance,error,pix1,pix2
363,2.893598096043431e-06,8.246211251235321,6.017042191674226e-07,8,24
364,4.441967945764449e-06,7.280109889280518,9.459818544590207e-07,8,25
365,5.307919880483317e-06,6.324555320336759,8.953112123178681e-07,8,26
366,5.487261270810834e-06,5.385164807134504,1.006260023346995e-06,8,27
367,4.87135895494729e-06,4.47213595499958,5.824484088003349e-07,8,28
368,5.8916298645635695e-06,3.605551275463989,3.2295772293122905e-07,8,29
369,8.530507863427587e-06,2.8284271247461903,1.1047336274485754e-06,8,30
370,1.299673842802359e-05,2.23606797749979,1.2605463231260108e-06,8,31
371,1.0035382024912162e-05,2.0,1.4254817709370237e-06,8,32
372,1.1457142515159373e-05,2.23606797749979,1.05317574447509e-06,8,33
373,6.33321527223937e-06,2.8284271247461903,6.155914176304528e-07,8,34
374,8.972047223418558e-06,3.605551275463989,1.072322680042768e-06,8,35
375,2.492934035267289e-06,8.54400374531753,6.102884810885555e-07,8,36
376,3.563039884038879e-06,7.615773105863909,8.531183067803918e-07,8,37
377,4.653039945445085e-06,6.708203932499369,9.45865072542163e-07,8,38
378,2.4217708501540666e-06,5.830951894845301,3.709133768030218e-07,8,39
379,4.64024520464343e-06,5.0,8.623414220426756e-07,8,40
380,5.0236957698049296e-06,4.242640687119285,8.79175320822812e-07,8,41
381,9.037968416414966e-06,3.605551275463989,1.1277095802776939e-06,8,42
382,8.522513765447681e-06,3.1622776601683795,9.535231110609224e-07,8,43
383,5.206450582142415e-06,3.0,9.450620001472978e-07,8,44
384,8.586691910968752e-06,3.1622776601683795,1.2955027282745768e-06,8,45
385,7.118933446677199e-06,3.605551275463989,1.1988358551100656e-06,8,46
386,8.112523826680926e-06,4.242640687119285,1.283954097304933e-06,8,47
387,0.0009398251633373284,1.0,2.226180168547569e-05,9,10
388,1.902376857760056e-05,2.0,4.867927795562784e-06,9,11
389,,9.055385138137417,,9,12
390,,8.06225774829855,,9,13
391,3.8991854281308115e-06,7.0710678118654755,1.0926166140967365e-06,9,14
392,5.2508396206013425e-06,6.082762530298219,4.6295114266033504e-07,9,15
393,1.5037592715472475e-06,5.0990195135927845,1.1581282529543814e-06,9,16
394,6.589268372732826e-06,4.123105625617661,2.0873204855618353e-06,9,17
395,3.7156957635317735e-06,3.1622776601683795,2.084837030264488e-06,9,18
396,1.4019263713547321e-05,2.23606797749979,7.872490528964926e-07,9,19
397,0.00016481882600640242,1.4142135623730951,9.462930049465622e-06,9,20
398,0.0011078372549039616,1.0,2.6605215521837136e-05,9,21
399,0.0001555622733900716,1.4142135623730951,8.391203855218291e-06,9,22
